Device set to use cuda:0
[Raptor][raw_fdata]: loading csv from raptor_int/raw_fdata.csv
[Raptor][raw_fdata]: processed raw data and written to raptor_int/processed_fdata.csv
[Raptor][raw_fdata]: loading csv from raptor_int/raw_fdata_train.csv
[Raptor][raw_fdata]: processed raw data and written to raptor_int/processed_fdata_train.csv
[Raptor][fdataset]: processing Dataframe with window length 7
[Raptor][fdataset]: feature columns: ['Close', 'Volume', 'ema', 'sma', 'rsi', 'macd', 'macd_signal', 'macd_diff', 'daily_return', 'momentum', 'volatility', 'Close_lag1', 'Volume_lag1']
[Raptor][fdataset]: normalized given dataframe on above feature columns
[Raptor][fdataset]: shape of df before dropping: (80480, 20)
[Raptor][fdataset]: shape of db after dropping & reset indices: (75262, 21)
[Raptor][fdataset]: processing Dataframe with window length 7
[Raptor][fdataset]: feature columns: ['Close', 'Volume', 'ema', 'sma', 'rsi', 'macd', 'macd_signal', 'macd_diff', 'daily_return', 'momentum', 'volatility', 'Close_lag1', 'Volume_lag1']
[Raptor][fdataset]: normalized given dataframe on above feature columns
[Raptor][fdataset]: shape of df before dropping: (20120, 20)
[Raptor][fdataset]: shape of db after dropping & reset indices: (19178, 21)
[Raptor][__main__]: torch version : 2.7.0+cu126
[Raptor][__main__]: using device : cuda
[Raptor][train_model]: Epoch 230/300, Loss: 0.4959, Accuracy: 79.07%
[Raptor][train_model]: Epoch 231/300, Loss: 0.4950, Accuracy: 78.94%
[Raptor][train_model]: Epoch 232/300, Loss: 0.4929, Accuracy: 79.17%
[Raptor][train_model]: Epoch 233/300, Loss: 0.4943, Accuracy: 79.17%
[Raptor][train_model]: Epoch 234/300, Loss: 0.4940, Accuracy: 79.12%
[Raptor][train_model]: Epoch 235/300, Loss: 0.4903, Accuracy: 79.14%
[Raptor][train_model]: Epoch 236/300, Loss: 0.4880, Accuracy: 79.34%
[Raptor][train_model]: Epoch 237/300, Loss: 0.4903, Accuracy: 79.19%
[Raptor][train_model]: Epoch 238/300, Loss: 0.4886, Accuracy: 79.32%
[Raptor][train_model]: Epoch 239/300, Loss: 0.4914, Accuracy: 79.14%
[Raptor][train_model]: Epoch 240/300, Loss: 0.4870, Accuracy: 79.42%
[Raptor][train_model]: Epoch 241/300, Loss: 0.4824, Accuracy: 79.43%
[Raptor][train_model]: Epoch 242/300, Loss: 0.4852, Accuracy: 79.55%
[Raptor][train_model]: Epoch 243/300, Loss: 0.4821, Accuracy: 79.64%
[Raptor][train_model]: Epoch 244/300, Loss: 0.4840, Accuracy: 79.52%
[Raptor][train_model]: Epoch 245/300, Loss: 0.4794, Accuracy: 79.76%
[Raptor][train_model]: Epoch 246/300, Loss: 0.4817, Accuracy: 79.68%
[Raptor][train_model]: Epoch 247/300, Loss: 0.4806, Accuracy: 79.61%
[Raptor][train_model]: Epoch 248/300, Loss: 0.4787, Accuracy: 79.74%
[Raptor][train_model]: Epoch 249/300, Loss: 0.4733, Accuracy: 80.11%
[Raptor][train_model]: Epoch 250/300, Loss: 0.4791, Accuracy: 79.83%
[Raptor][train_model]: Epoch 251/300, Loss: 0.4769, Accuracy: 79.97%
[Raptor][train_model]: Epoch 252/300, Loss: 0.4693, Accuracy: 80.33%
[Raptor][train_model]: Epoch 253/300, Loss: 0.4731, Accuracy: 80.12%
[Raptor][train_model]: Epoch 254/300, Loss: 0.4708, Accuracy: 80.23%
[Raptor][train_model]: Epoch 255/300, Loss: 0.4766, Accuracy: 79.80%
[Raptor][train_model]: Epoch 256/300, Loss: 0.4707, Accuracy: 80.23%
[Raptor][train_model]: Epoch 257/300, Loss: 0.4714, Accuracy: 80.06%
[Raptor][train_model]: Epoch 258/300, Loss: 0.4696, Accuracy: 80.21%
[Raptor][train_model]: Epoch 259/300, Loss: 0.4693, Accuracy: 80.07%
[Raptor][train_model]: Epoch 260/300, Loss: 0.4648, Accuracy: 80.35%
[Raptor][train_model]: Epoch 261/300, Loss: 0.4669, Accuracy: 80.24%
[Raptor][train_model]: Epoch 262/300, Loss: 0.4628, Accuracy: 80.57%
[Raptor][train_model]: Epoch 263/300, Loss: 0.4645, Accuracy: 80.41%
[Raptor][train_model]: Epoch 264/300, Loss: 0.4599, Accuracy: 80.70%
[Raptor][train_model]: Epoch 265/300, Loss: 0.4599, Accuracy: 80.59%
